Семантические категории 1-ого уровня;Семантические категории 2-ого уровня;Семантические категории 3-его уровня;Оценочное слово или словосочетание;Полярность;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;рабочий аппарат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;рабочий прибор;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;рукомойник;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;сама по себе хорошая;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;самая удачная покупка за последнее время;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;самый удачный вариант;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;своенравный прибор;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;сделана с умом;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;сказка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;слабовата;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;сложная;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;современная вещь;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;современная кофемашина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;современная кофемашинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;современная машина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;современная машинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;современная модель;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;современное устройство;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;современный агрегат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;современный аппарат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;современный вариант;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;современный прибор;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;соответствует заявленным параметрам;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;соответствует описанию;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;состоит из плюсов;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;справляется на 5 баллов;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;среднее устройство;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;средненько;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;средние устройство;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;средний агрегат;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;средний аппарат;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;средний вариант;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;средний прибор;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;средняя вещь;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;средняя кофемашина;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;средняя кофемашинка;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;средняя машина;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;средняя машинка;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;средняя модель;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;стандартная вещь;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;стандартная кофемашина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;стандартная кофемашинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;стандартная машина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;стандартная машинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;стандартная модель;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;стандартнее устройство;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;стандартный агрегат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;стандартный аппарат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;стандартный вариант;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;стандартный прибор;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;стоящая вещь;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;стоящая кофемашина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;стоящая кофемашинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;стоящая машина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;стоящая машинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;стоящая модель;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;стоящее устройство;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;стоящий агрегат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;стоящий аппарат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;стоящий вариант;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;стоящий прибор;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;странная вещь;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;странная кофемашина;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;странная кофемашинка;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;странная машина;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;странная машинка;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;странная модель;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;странное устройство;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;странный агрегат;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;странный аппарат;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;странный вариант;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;странный прибор;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;супер;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;супер агрегат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;супер вариант;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;супермашина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;удoвoльcтвиe одним словoм;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;удачная вещь;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;удачная кофемашина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;удачная кофемашинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;удачная машина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;удачная машинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;удачная модель;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;удачное устройство;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;удачный агрегат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;удачный аппарат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;удачный вариант;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;удачный прибор;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;удобная;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;удобная вещь;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;удобная кофеварка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;удобная кофемашина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;удобная кофемашинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;удобная машина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;удобная машинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;удобная модель;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;удобная штука;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;удобное устройство;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;удобный агрегат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;удобный аппарат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;удобный вариант;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;удобный прибор;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;удовлетворяет по всем параметрам;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;удовольствие;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;ужасная вещь;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;ужасная кофемашина;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;ужасная кофемашинка;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;ужасная машина;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;ужасная машинка;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;ужасная модель;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;ужасное устройство;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;ужасный агрегат;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;ужасный аппарат;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;ужасный вариант;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;ужасный прибор;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;умная;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;умная машина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;умная машинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;умница;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;умничка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;устраивает полностью;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;функциональная;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;функциональный;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;хороша;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;хорошая;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;хорошая вещь;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;хорошая кофемашина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;хорошая кофемашинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;хорошая машина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;хорошая машинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;хорошая модель;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;хорошая техника;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;хорошая штучка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;хорошее качество;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;хорошее устройство;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;хороший агрегат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;хороший аппарат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;хороший вариант;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;хороший комбайн;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;хороший подарок;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;хороший прибор;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;хороший товар;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;хоршая вещь;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;хоршая кофемашина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;хоршая кофемашинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;хоршая машина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;хоршая машинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;хоршая модель;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;четкая штука;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;чувствительна к напряжению в сети;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;чудесная вещь;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;чудесная кофемашина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;чудесная кофемашинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;чудесная машина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;чудесная машинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;чудесная модель;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;чудесное устройство;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;чудесный агрегат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;чудесный аппарат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;чудесный вариант;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;чудесный прибор;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;чудо;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;чудо машина ;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;чудо техники;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;шикарна;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;шикарная;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;шикарная вещь;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;шикарная кофемашина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;шикарная кофемашинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;шикарная машина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;шикарная машинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;шикарная модель;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;шикарное устройство;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;шикарный агрегат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;шикарный аппарат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;шикарный вариант;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;шикарный прибор;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;шлак;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;эксклюзивная вещь;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;эксклюзивная кофемашина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;эксклюзивная кофемашинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;эксклюзивная машина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;эксклюзивная машинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;эксклюзивная модель;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;эксклюзивное устройство;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;эксклюзивный агрегат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;эксклюзивный аппарат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;эксклюзивный вариант;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;эксклюзивный прибор;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;эргономична;+;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;адекватно не работает капучинатор;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;большая гарантия;+;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;быстро ломается;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;быстро ломаются;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;быстро произошла первая поломка;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;быстро сломалась;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;вечная;+;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;вечно ломающейся;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;вода перестала литься из рожка;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;высокий сервис;+;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;вышла из строя через три дня;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;глючит датчик заполнения поддона капель;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;дал сбой;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;дала течь;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;долгие годы службы;+;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;долговечная;+;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;ежегодно ломается;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;ежегодно ломается капучинатор;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;живет в авральном режиме не первый месяц;+;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;живучий аппарат;+;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;забарахлила;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;иногда ломается;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;исправно работает;+;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;короткий срок пользования;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;косячит капучинатор;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;маленький срок службы;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;на ремонте уже второй месяц ;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;накрылась;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;накрылся;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;накрылся каппучинатор;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;начал происходить какой-то бред;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;начала зависать;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;начала моргать всеми кнопками и ни на какие пляски с бубном уже больше не реагировала;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;начала подтекать;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;начались глюки;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;начались проблемы;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;неремонтопригодна;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;неубиваема;+;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;неубиваемая;+;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;неубиваемость;+;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;отвратительный сервис;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;отказалась варить мой любимый капучино;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;отказалась включаться;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;отказалась готовить мой любимый капучино;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;отказывыется нормально работать;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;отключается капучинатор;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;отломалось ушко;+;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;отработала менее четырех месяцев;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;пена практически исчезла;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;перестал работать нагрев воды;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;перестала варить капуччино;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;перестала выпускать воду для кофе;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;перестала готовить капуччино;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;перестала лить воду;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;перестала молоть кофе;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;перестала пенить свою знаменитую пенку;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;перестала работать;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;перестала работать функция отключения;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;подтекает из-под бака с водой;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;подтекает из-под емкости с водой;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;подтекает из-под резервуара с водой;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;полетел варочный блок;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;поломался клапан;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;попался брак;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;постоянно ломается;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;постоянно ломаются;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;потек контейнер для воды;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;протекала вода в месте контакта бака с корпусом кофеварки;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;протекала вода в месте контакта емкости с корпусом кофеварки;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;протекала вода в месте контакта резервуара с корпусом кофеварки;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;проявился дефект;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;работает безотказно;+;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;работает исправно;+;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;работала как часы;+;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;радует сервис;+;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;редко ломаются;+;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;рекордсмен по долголетию;+;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;сдох мотор;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;сломалась;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;сломалась она на третьей неделе эксплуатации;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;сломалась плата управления;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;сломалась через два месяца;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;сломалась через месяц;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;сломалась через месяц активного использования;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;сломался механизм вкл-выкл;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;сразу ломается;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;стал плохо работать;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;стал течь бачок для воды при вынимании его;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;стала зависать;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;стала протекать;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;тек контейнер с водой;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;треснула колба для воды;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;треснула трубка капучинатора;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;часто ломается;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;часто ломаются;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;через 1.5 года сгорело электронное плато;-;;;;;;;
объект оценки (кофемашина);срок службы;срок службы;через раз срабатывать кнопка включения/выключения;-;;;;;;;
объект оценки (кофемашина);уход;уход;2 раза пришлось делать декальцинацию;-;;;;;;;
объект оценки (кофемашина);уход;уход;в уходе не заметил трудностей;-;;;;;;;
объект оценки (кофемашина);уход;уход;длительный процесс удаления накипи;-;;;;;;;
объект оценки (кофемашина);уход;уход;довольно часто нужно промывать всю систему;-;;;;;;;
объект оценки (кофемашина);уход;уход;долго надо промывать бачок для молока и его детали;-;;;;;;;
объект оценки (кофемашина);уход;уход;замороченная декальцинация;-;;;;;;;
объект оценки (кофемашина);уход;уход;заморочки с обслуживанием;-;;;;;;;
объект оценки (кофемашина);уход;уход;изредка чистить;+;;;;;;;
объект оценки (кофемашина);уход;уход;легка в обслуживании;+;;;;;;;
объект оценки (кофемашина);уход;уход;легкая очистка;+;;;;;;;
объект оценки (кофемашина);уход;уход;легкая очистка сливного поддона;+;;;;;;;
объект оценки (кофемашина);уход;уход;легкая чистка аппарата;+;;;;;;;
объект оценки (кофемашина);уход;уход;легко моется;+;;;;;;;
объект оценки (кофемашина);уход;уход;легко мыть;+;;;;;;;
объект оценки (кофемашина);уход;уход;легко обслуживать;+;;;;;;;
объект оценки (кофемашина);уход;уход;легко промывается;+;;;;;;;
объект оценки (кофемашина);уход;уход;легко разбирается;+;;;;;;;
объект оценки (кофемашина);уход;уход;легко ухаживать;+;;;;;;;
объект оценки (кофемашина);уход;уход;легко чистить;+;;;;;;;
объект оценки (кофемашина);уход;уход;легкое обслуживание;+;;;;;;;
объект оценки (кофемашина);уход;уход;минимум обслуживания;+;;;;;;;
объект оценки (кофемашина);уход;уход;морока;-;;;;;;;
объект оценки (кофемашина);уход;уход;мыть ничего не надо;+;;;;;;;
объект оценки (кофемашина);уход;уход;надо часто чистить;-;;;;;;;
объект оценки (кофемашина);уход;уход;не нуждается в обслуживании;+;;;;;;;
объект оценки (кофемашина);уход;уход;не требует;+;;;;;;;
объект оценки (кофемашина);уход;уход;не требует никакого ухода;+;;;;;;;
объект оценки (кофемашина);уход;уход;не требующая дополнительных трат на средства для очистки;+;;;;;;;
объект оценки (кофемашина);уход;уход;неприхотлива;+;;;;;;;
объект оценки (кофемашина);уход;уход;неприхотливая;+;;;;;;;
объект оценки (кофемашина);уход;уход;неприхотливая в обслуживании;+;;;;;;;
объект оценки (кофемашина);уход;уход;неприхотливость в чистке;+;;;;;;;
объект оценки (кофемашина);уход;уход;несложный уход;+;;;;;;;
объект оценки (кофемашина);уход;уход;нет необходимости каждый раз мыть ёмкость для молока;+;;;;;;;
объект оценки (кофемашина);уход;уход;неудобно мыть;-;;;;;;;
объект оценки (кофемашина);уход;уход;неудобно промывать ёмкость для стёкшей воды;-;;;;;;;
объект оценки (кофемашина);уход;уход;неудобно чистить;-;;;;;;;
объект оценки (кофемашина);уход;уход;никакого ухода не требует;+;;;;;;;
объект оценки (кофемашина);уход;уход;ничего мыть не надо;+;;;;;;;
объект оценки (кофемашина);уход;уход;нужна частая чистка;-;;;;;;;
объект оценки (кофемашина);уход;уход;нужно вовремя подставлять стаканы,сама моется без предупреждения;-;;;;;;;
объект оценки (кофемашина);уход;уход;очень часто требует очистки;-;;;;;;;
объект оценки (кофемашина);уход;уход;очистка кофеварки от накипи спецсредством - это тоже квест;-;;;;;;;
